x,y,z,parity
-1.89,-1.27,-4.14,1.00
1.01,-1.33,-1.50,1.00
0.73,-0.67,2.86,2.00
-0.28,-0.06,1.57,2.00
-0.68,-0.21,2.61,2.00
-1.04,1.96,-3.39,1.00
-1.89,1.56,2.96,2.00
-0.44,-0.09,-0.68,1.00
-0.13,0.03,-2.42,1.00
2.72,0.52,-3.41,1.00
-2.33,1.54,-3.13,1.00
-0.81,-1.18,1.93,2.00
0.03,0.20,-0.50,1.00
-0.10,-0.10,0.95,2.00
0.27,-0.34,1.09,2.00
-1.19,0.99,4.91,2.00
-0.06,-0.27,1.31,2.00
-0.28,-0.62,0.87,2.00
0.02,-0.00,1.39,2.00
3.75,5.94,-3.68,1.00
1.03,0.68,0.74,2.00
-0.41,2.03,3.42,2.00
-0.35,-0.17,-4.33,1.00
-0.77,-0.03,-0.65,1.00
0.67,-0.14,1.20,2.00
1.12,0.54,1.45,2.00
0.04,-0.08,1.21,2.00
3.13,-1.21,-6.95,1.00
-1.08,-1.80,-3.33,1.00
0.39,-1.20,2.02,2.00
-0.50,0.44,-2.62,1.00
2.69,1.41,6.15,2.00
-1.00,1.15,3.68,2.00
-0.54,1.64,2.44,2.00
4.75,1.02,-5.46,1.00
0.04,-0.01,1.29,2.00
1.66,1.08,0.86,2.00
-0.85,0.70,-6.84,1.00
0.35,0.49,3.06,2.00
-0.22,0.09,-1.20,1.00
-0.27,-1.13,-0.74,1.00
1.35,0.72,-3.52,1.00
1.27,0.34,2.54,2.00
-0.28,0.01,0.39,2.00
0.03,-0.16,-1.87,1.00
-0.48,-0.45,1.56,2.00
-0.39,1.62,-1.51,1.00
0.61,0.17,-1.18,1.00
0.32,2.04,-1.69,1.00
0.58,0.36,-1.47,1.00
0.26,0.01,-0.41,1.00
-0.23,-0.16,2.03,2.00
-0.40,-0.94,1.94,2.00
1.15,-1.69,4.40,2.00
0.15,-0.26,-1.84,1.00
2.05,-1.27,-4.85,1.00
3.76,-3.31,-4.79,1.00
-1.37,0.77,3.39,2.00
-0.55,-0.04,-2.01,1.00
0.01,0.28,-2.80,1.00
3.74,-1.56,-6.83,1.00
-0.79,-1.79,2.50,2.00
-0.63,-0.09,-1.50,1.00
-0.04,-2.10,2.09,2.00
0.67,-0.78,1.43,2.00
-0.18,0.07,1.35,2.00
0.05,-0.99,-0.88,1.00
1.01,-1.52,2.30,2.00
0.02,-0.01,1.16,2.00
-0.13,-0.33,-1.39,1.00
0.68,-0.11,0.86,2.00
-0.72,-3.25,3.99,2.00
1.47,0.65,1.57,2.00
0.18,0.50,-3.03,1.00
-0.06,0.27,2.43,2.00
5.28,-3.02,-6.01,1.00
0.01,0.05,3.45,2.00
-0.44,0.52,-1.74,1.00
-2.29,2.57,8.41,2.00
0.43,0.35,0.88,2.00
0.07,0.27,-0.90,1.00
-2.25,0.93,0.91,2.00
0.15,-0.90,1.59,2.00
-0.35,-0.71,-1.40,1.00
0.17,1.36,1.34,2.00
-0.22,-0.35,-1.14,1.00
0.07,2.50,2.60,2.00
-0.31,0.11,-3.54,1.00
0.08,-0.18,-1.81,1.00
-0.80,-0.63,-0.52,1.00
0.05,0.15,-1.80,1.00
0.80,1.66,3.23,2.00
0.12,1.06,0.44,2.00
-2.86,0.55,-1.62,1.00
1.64,-1.54,-3.62,1.00
3.11,0.60,3.21,2.00
0.06,-0.60,1.17,2.00
-1.99,0.99,3.98,2.00
-0.67,0.04,-1.46,1.00
0.22,0.22,1.09,2.00
-3.55,-2.76,4.40,2.00
1.91,0.46,-3.48,1.00
-1.85,-0.09,2.04,2.00
1.40,0.84,-2.48,1.00
2.05,-2.38,3.33,2.00
-0.14,0.08,0.82,2.00
0.97,0.94,2.59,2.00
2.45,0.96,3.16,2.00
-2.65,5.61,-4.57,1.00
0.39,-0.50,-0.79,1.00
1.77,-0.28,-3.24,1.00
-1.21,1.07,-3.96,1.00
-0.67,0.19,2.37,2.00
-1.59,-4.60,7.38,2.00
4.41,1.15,-2.70,1.00
-0.90,0.70,-4.53,1.00
0.61,-1.00,1.17,2.00
-0.16,-0.23,-3.12,1.00
1.02,-0.79,-3.76,1.00
5.47,-2.54,6.17,2.00
-3.65,-0.13,5.68,2.00
-1.24,-3.11,4.06,2.00
1.41,0.96,-1.06,1.00
0.56,-0.27,0.65,2.00
-1.02,-0.17,2.82,2.00
0.04,-0.07,3.14,2.00
-0.01,-0.02,0.93,2.00
0.59,0.22,0.48,2.00
-1.51,1.02,-4.69,1.00
-0.00,-0.00,1.05,2.00
4.15,-0.20,2.30,2.00
0.19,0.11,-1.92,1.00
-0.40,-0.56,-2.72,1.00
0.98,0.35,2.42,2.00
-1.07,-0.13,3.23,2.00
-0.78,-0.20,1.88,2.00
0.47,0.03,4.83,2.00
-2.12,0.50,6.89,2.00
0.92,0.56,4.93,2.00
3.78,2.78,3.76,2.00
-1.52,-0.42,-5.71,1.00
-2.10,3.80,4.16,2.00
2.14,-1.02,-2.79,1.00
2.37,-1.89,-3.71,1.00
-3.10,-3.60,-2.90,1.00
-0.11,0.03,-0.78,1.00
-0.10,1.50,-2.52,1.00
-0.14,1.54,-4.49,1.00
-0.59,1.46,-2.21,1.00
-0.01,-0.38,-0.81,1.00
0.33,0.00,2.57,2.00
0.48,1.85,-5.44,1.00
2.77,0.85,4.40,2.00
0.74,-5.36,-2.31,1.00
-0.45,-0.47,-5.96,1.00
-0.32,-0.09,4.08,2.00
-1.94,-0.52,5.52,2.00
0.45,0.35,0.56,2.00
-0.01,0.14,-2.80,1.00
0.25,-2.28,-3.73,1.00
0.04,-0.79,-4.64,1.00
0.19,-0.09,1.29,2.00
1.13,1.25,-2.80,1.00
-1.11,-0.09,2.83,2.00
-3.05,-0.74,3.74,2.00
0.21,-2.54,-4.65,1.00
1.71,2.56,5.12,2.00
-0.58,-0.60,0.83,2.00
0.64,-1.50,-4.24,1.00
0.73,-0.58,-5.26,1.00
-0.40,-0.18,-2.81,1.00
-0.48,0.09,1.15,2.00
-0.43,0.20,-3.05,1.00
0.24,-0.02,3.58,2.00
0.36,0.98,3.03,2.00
0.06,0.06,-4.45,1.00
-0.09,-2.97,-3.96,1.00
-0.01,-0.07,4.19,2.00
0.14,0.09,1.79,2.00
3.75,-0.07,-1.73,1.00
-0.09,-0.15,2.10,2.00
-1.59,-1.11,0.55,2.00
1.20,-0.40,0.31,2.00
-0.41,-0.29,1.78,2.00
0.42,-0.13,0.64,2.00
-0.27,-0.29,1.21,2.00
-0.32,-0.32,2.44,2.00
0.82,0.94,-0.77,1.00
0.01,0.04,-1.09,1.00
-0.06,-0.06,2.57,2.00
0.24,-0.58,3.77,2.00
-0.55,-1.36,1.22,2.00
-0.19,-0.02,1.44,2.00
-0.16,0.29,1.84,2.00
-0.01,-0.05,3.36,2.00
-0.60,0.51,3.19,2.00
0.48,0.86,1.31,2.00
0.90,0.51,1.91,2.00
-0.40,0.17,0.65,2.00
1.20,1.31,4.99,2.00
-0.21,-0.07,-4.44,1.00
-3.98,-0.58,3.55,2.00
0.03,0.20,1.18,2.00
1.80,1.20,-1.52,1.00
0.17,-0.23,-5.11,1.00
-0.35,0.21,1.07,2.00
0.60,-0.97,0.96,2.00
0.03,0.03,4.79,2.00
0.44,2.45,2.18,2.00
-0.96,-0.43,-1.42,1.00
-0.15,0.05,1.83,2.00
-0.32,-0.89,-1.40,1.00
-1.51,-4.29,-2.90,1.00
0.68,0.69,-3.59,1.00
-0.03,-0.08,3.08,2.00
0.05,0.80,-1.52,1.00
2.46,0.93,1.10,2.00
-0.34,0.35,-1.71,1.00
0.26,-0.11,6.44,2.00
0.09,0.02,-1.26,1.00
0.99,-1.01,-2.17,1.00
0.37,0.47,-4.15,1.00
-0.04,-0.05,-1.37,1.00
0.76,-0.14,-1.48,1.00
0.24,-0.50,-1.53,1.00
-0.24,2.13,3.14,2.00
-0.08,-2.57,4.02,2.00
-0.01,-0.99,-0.84,1.00
-0.44,0.55,-0.68,1.00
-0.10,0.22,-1.81,1.00
-1.03,-0.09,1.18,2.00
-0.59,-1.63,2.08,2.00
1.01,-0.80,0.93,2.00
0.82,0.62,-2.13,1.00
-0.23,-0.01,1.07,2.00
0.34,-0.50,-2.49,1.00
-0.06,0.62,2.61,2.00
0.19,-0.33,-0.69,1.00
-0.13,1.34,-3.26,1.00
0.21,0.68,-1.89,1.00
-1.56,-4.98,4.39,2.00
-1.86,0.98,-2.93,1.00
0.10,0.20,2.54,2.00
-0.07,-0.13,2.09,2.00
0.44,-0.81,4.61,2.00
1.14,-0.69,1.41,2.00
-0.48,0.60,-1.53,1.00
5.63,-1.49,4.14,2.00
5.19,-1.17,-6.94,1.00
-0.56,0.67,-3.67,1.00
-0.21,-1.05,2.90,2.00
-1.12,0.87,-3.32,1.00
-0.26,-0.87,3.69,2.00
-0.67,0.54,2.59,2.00
-0.68,0.05,2.27,2.00
-0.64,-0.02,1.98,2.00
0.72,0.01,-2.21,1.00
-0.02,0.08,2.25,2.00
1.05,0.73,-3.66,1.00
-0.45,0.08,0.77,2.00
-1.65,-0.68,3.60,2.00
0.23,0.12,-2.05,1.00
-0.34,-0.09,-0.19,1.00
-0.00,-1.08,-1.06,1.00
1.25,-1.58,6.58,2.00
4.34,0.84,1.85,2.00
1.30,1.16,-5.86,1.00
0.96,0.60,0.68,2.00
2.76,-0.08,-2.63,1.00
-0.25,0.30,1.12,2.00
-1.18,-1.82,4.67,2.00
0.98,-0.02,2.26,2.00
-0.04,-0.06,-0.55,1.00
-0.06,-0.05,-3.29,1.00
-1.03,3.04,3.52,2.00
0.96,1.25,1.63,2.00
2.51,0.62,-4.07,1.00
-0.01,-1.95,-4.37,1.00
0.48,1.44,-2.55,1.00
-1.57,1.07,-2.23,1.00
0.86,-0.17,-1.00,1.00
0.42,0.09,3.48,2.00
2.80,-1.20,-4.42,1.00
0.13,-2.09,1.27,2.00
0.43,-1.43,1.11,2.00
0.39,0.88,5.90,2.00
0.34,-0.23,-3.00,1.00
1.52,-1.35,-2.86,1.00
0.19,-0.11,0.74,2.00
-0.10,0.49,-2.16,1.00
0.79,0.32,2.73,2.00
1.05,3.26,-0.94,1.00
0.70,4.98,1.32,2.00
0.30,0.89,-1.29,1.00
-0.25,0.37,-4.37,1.00
-0.70,1.43,-3.51,1.00
0.84,0.08,2.26,2.00
-0.12,-0.30,-0.91,1.00
-0.57,0.37,-1.20,1.00
0.03,0.00,1.87,2.00
0.04,-0.02,-1.72,1.00
-0.24,-0.28,-3.81,1.00
0.32,-1.77,-1.74,1.00
-1.14,-0.16,0.92,2.00
0.02,0.22,0.64,2.00
-0.32,0.61,1.09,2.00
-0.18,0.46,2.07,2.00
-2.16,-0.49,1.65,2.00
-2.26,-1.06,4.79,2.00
0.03,-0.48,1.82,2.00
2.32,1.34,-7.43,1.00
0.90,-1.83,1.04,2.00
0.43,0.32,-0.97,1.00
0.05,-0.48,0.79,2.00
-4.04,1.12,2.26,2.00
-0.21,-0.09,3.37,2.00
-0.34,-0.09,2.30,2.00
-2.34,-2.58,-6.95,1.00
0.05,0.01,1.29,2.00
0.92,2.15,-1.37,1.00
-1.61,2.29,-5.10,1.00
1.22,-2.09,3.11,2.00
0.00,0.04,3.71,2.00
-0.99,0.89,-3.25,1.00
-0.09,0.66,5.03,2.00
0.35,-0.04,3.99,2.00
-1.64,-0.95,2.52,2.00
-0.77,0.17,-3.22,1.00
-2.40,2.11,-2.36,1.00
-0.07,-0.06,-0.47,1.00
0.24,0.42,3.18,2.00
0.10,0.03,1.14,2.00
0.14,0.10,1.79,2.00
-1.88,0.08,3.45,2.00
0.18,0.17,-1.55,1.00
0.30,0.60,-0.84,1.00
-0.33,2.05,-2.53,1.00
-0.64,0.83,-1.65,1.00
0.13,-0.24,-1.19,1.00
-0.39,-0.36,2.04,2.00
0.20,-0.28,-1.59,1.00
-0.02,0.16,-2.46,1.00
-1.19,-1.33,-2.11,1.00
-0.28,0.96,0.90,2.00
0.28,-0.92,1.44,2.00
-1.40,-1.19,2.13,2.00
-0.01,0.01,1.97,2.00
0.71,1.20,3.26,2.00
2.71,1.19,5.58,2.00
0.11,0.02,2.22,2.00
0.05,-0.10,-3.19,1.00
-0.82,0.80,-1.96,1.00
-0.28,0.96,-3.46,1.00
-0.13,-0.03,-0.80,1.00
0.09,-1.09,3.49,2.00
-0.14,0.30,-1.28,1.00
-0.67,-1.86,-2.28,1.00
-0.11,-0.18,1.57,2.00
-0.72,0.87,1.35,2.00
2.01,-0.03,1.48,2.00
-0.02,-0.12,2.11,2.00
1.41,-1.36,2.47,2.00
-0.24,0.03,2.86,2.00
-1.80,0.35,-1.76,1.00
0.03,0.07,0.91,2.00
0.25,-0.41,-1.57,1.00
0.75,0.01,1.15,2.00
-1.37,-0.56,-1.66,1.00
-0.47,-0.28,1.85,2.00
0.36,1.14,3.39,2.00
0.36,0.17,1.49,2.00
-0.35,0.76,2.15,2.00
0.04,-0.93,-1.08,1.00
0.23,-0.04,-1.79,1.00
0.04,0.30,-2.20,1.00
0.37,1.04,-2.89,1.00
-0.13,0.26,-3.38,1.00
-0.18,1.24,1.29,2.00
0.19,0.09,-2.28,1.00
-1.07,-0.28,2.63,2.00
-1.32,2.64,-2.94,1.00
-1.03,1.05,2.78,2.00
0.25,-1.21,0.72,2.00
-0.24,-0.11,0.55,2.00
0.22,-0.25,-0.89,1.00
0.18,0.48,0.49,2.00
0.81,-0.71,1.83,2.00
-0.43,0.37,-5.97,1.00
0.11,0.03,-2.80,1.00
-0.63,-0.39,2.90,2.00
-0.08,-0.44,3.87,2.00
-0.25,-0.15,-3.44,1.00
0.28,0.81,-1.29,1.00
0.19,0.05,1.39,2.00
-0.12,1.85,-4.62,1.00
-0.13,1.10,-2.97,1.00
0.65,-0.37,-3.47,1.00
0.83,1.93,-3.92,1.00
0.82,0.38,-2.38,1.00
-0.80,0.08,1.06,2.00
-0.09,0.15,-4.62,1.00
0.21,-0.89,-4.24,1.00
0.25,1.73,-3.58,1.00
-1.23,-3.10,3.74,2.00
-1.05,-5.72,-1.94,1.00
-0.81,0.16,-2.57,1.00
1.20,-0.80,4.26,2.00
2.23,-2.40,3.36,2.00
-1.50,0.95,1.51,2.00
3.18,-1.32,-1.69,1.00
1.15,0.47,-2.67,1.00
-0.03,-0.02,1.33,2.00
-1.22,-2.90,-2.77,1.00
0.19,-0.15,4.44,2.00
0.11,2.50,-4.58,1.00
0.91,0.40,-3.37,1.00
2.11,1.89,2.54,2.00
0.60,0.18,-0.92,1.00
-0.86,-0.16,-4.90,1.00
-0.13,0.41,-3.29,1.00
0.50,0.30,-0.82,1.00
3.00,1.34,-2.65,1.00
-0.05,-0.32,-1.40,1.00
0.59,-0.15,-0.84,1.00
0.04,-0.84,-2.63,1.00
2.71,0.17,-2.41,1.00
-3.87,3.84,3.96,2.00
6.07,0.19,3.94,2.00
-0.22,-1.20,-3.81,1.00
2.05,0.15,4.66,2.00
-0.46,-0.58,-1.06,1.00
1.69,1.10,3.03,2.00
-0.29,-0.67,-3.61,1.00
-0.27,-0.94,0.80,2.00
-0.52,0.73,-4.12,1.00
0.01,-0.30,-1.01,1.00
-1.69,-0.27,-2.36,1.00
1.59,-1.31,-3.95,1.00
1.07,2.78,3.77,2.00
-0.24,-0.38,-3.85,1.00
0.49,0.67,-2.87,1.00
-0.36,0.07,0.34,2.00
-2.07,0.44,6.61,2.00
-3.55,-0.52,2.66,2.00
1.85,-3.22,2.94,2.00
-2.67,-2.30,-4.73,1.00
-0.85,1.15,-2.36,1.00
1.42,-1.13,1.02,2.00
0.60,1.11,1.29,2.00
-0.63,-0.63,1.59,2.00
2.15,2.39,-4.47,1.00
0.67,0.67,-1.88,1.00
0.02,-2.36,2.25,2.00
-1.22,0.56,1.08,2.00
-1.53,1.65,-1.99,1.00
-1.61,2.15,-2.24,1.00
-0.55,-2.07,4.44,2.00
-0.28,-0.88,-1.84,1.00
-2.52,-0.12,-5.73,1.00
1.20,0.05,2.26,2.00
0.75,-1.08,-2.87,1.00
0.72,-0.23,-1.28,1.00
1.01,-0.03,2.23,2.00
1.24,1.28,-4.21,1.00
1.06,0.23,3.70,2.00
0.86,-0.29,1.81,2.00
0.21,0.38,-0.87,1.00
0.46,0.07,-2.48,1.00
-0.05,0.15,-1.38,1.00
-0.39,-0.46,2.67,2.00
0.31,-0.09,-1.93,1.00
0.04,-0.02,-2.57,1.00
0.22,-0.21,1.06,2.00
-3.30,2.17,-3.03,1.00
-0.24,0.14,-1.52,1.00
1.35,0.09,1.54,2.00
-0.66,-1.18,1.00,2.00
1.02,-0.86,-4.84,1.00
2.14,0.20,-2.71,1.00
0.04,0.13,-1.20,1.00
-1.38,-0.30,2.66,2.00
0.87,0.06,0.79,2.00
0.41,-0.05,4.17,2.00
-0.25,1.25,1.40,2.00
0.44,0.06,-1.48,1.00
-0.57,-0.37,1.56,2.00
-0.70,0.46,0.98,2.00
-0.06,0.25,-3.58,1.00
-0.37,0.54,-2.01,1.00
-0.12,0.68,2.05,2.00
-0.60,-2.15,2.56,2.00
-0.14,0.07,0.50,2.00
-3.27,-1.70,3.62,2.00
0.18,0.25,1.75,2.00
1.52,-0.59,1.18,2.00
0.08,1.40,1.15,2.00
0.40,0.33,0.90,2.00
1.87,0.33,-2.95,1.00
0.03,0.24,-2.02,1.00
-0.67,0.17,3.72,2.00
-2.38,1.73,-1.04,1.00
0.87,0.90,1.57,2.00
-2.42,-1.04,-4.47,1.00
-0.73,0.75,-3.56,1.00
0.32,-0.22,0.67,2.00
1.08,1.34,1.63,2.00
2.02,0.57,-3.94,1.00
-1.08,0.65,-0.88,1.00
-1.57,-1.34,2.11,2.00
-0.17,0.69,-1.13,1.00
-1.04,0.48,4.01,2.00
1.68,-0.39,-1.65,1.00
0.80,-1.65,-1.69,1.00
-0.60,0.09,3.32,2.00
0.03,-0.11,-2.13,1.00
0.51,1.30,-1.92,1.00
0.51,-0.03,-1.19,1.00
2.06,0.47,1.92,2.00
-0.44,0.51,1.13,2.00
-0.84,0.11,1.58,2.00
-0.02,0.69,-1.08,1.00
-0.05,-0.00,-1.07,1.00
-0.68,-0.04,4.91,2.00
2.15,-0.75,1.84,2.00
-0.67,1.08,1.17,2.00
-0.86,0.36,1.38,2.00
2.31,-0.48,-0.95,1.00
-0.50,0.35,-1.62,1.00
-0.08,-0.05,-2.37,1.00
-0.56,0.07,-1.90,1.00
3.33,0.30,5.88,2.00
0.62,-2.50,-2.90,1.00
-0.14,2.64,-1.82,1.00
-0.91,0.84,-0.84,1.00
0.34,-0.10,-3.66,1.00
-3.02,-3.62,-5.85,1.00
-0.79,-1.29,2.66,2.00
0.47,0.91,-1.56,1.00
1.13,-0.44,-3.34,1.00
0.03,0.01,-1.74,1.00
0.16,-0.59,1.97,2.00
-0.50,0.43,-0.58,1.00
-0.98,-0.96,-3.72,1.00
-1.03,0.44,-1.70,1.00
-0.85,-1.99,1.60,2.00
-2.25,-1.50,4.89,2.00
3.18,2.50,2.28,2.00
-0.16,0.41,-0.75,1.00
0.81,0.44,1.11,2.00
-0.20,-0.44,1.62,2.00
-2.71,-0.82,-2.53,1.00
0.09,-0.88,-2.45,1.00
0.02,0.25,-1.80,1.00
-7.29,-1.49,-4.84,1.00
-0.89,-0.56,1.58,2.00
-0.97,0.97,-1.64,1.00
0.44,-0.22,-3.09,1.00
0.06,0.07,0.95,2.00
3.19,-2.76,-0.97,1.00
-0.80,4.53,2.44,2.00
-0.87,0.32,-2.22,1.00
0.58,-1.80,5.38,2.00
1.09,1.26,4.06,2.00
0.57,2.18,3.35,2.00
0.64,-0.99,5.01,2.00
-0.17,2.42,4.63,2.00
-1.02,-0.81,-0.54,1.00
-1.18,-1.45,5.24,2.00
0.20,-0.43,-1.87,1.00
1.17,3.83,-1.57,1.00
-1.68,-0.51,-2.20,1.00
-1.90,-0.96,0.86,2.00
0.32,0.03,1.02,2.00
0.47,-0.10,1.61,2.00
-0.87,-0.37,2.36,2.00
-0.80,-0.01,-0.69,1.00
1.13,-0.13,-3.21,1.00
1.98,-2.94,-3.94,1.00
-0.15,0.64,1.25,2.00
-2.00,-0.77,2.91,2.00
1.78,-2.82,4.17,2.00
-1.25,-0.65,3.59,2.00
0.09,0.43,1.37,2.00
0.55,-0.62,-2.86,1.00
-0.92,1.22,1.30,2.00
-0.18,-1.40,-3.05,1.00
-0.37,-0.40,4.64,2.00
0.06,-0.09,-0.74,1.00
-0.07,-0.09,-2.49,1.00
-1.39,1.05,-1.47,1.00
-0.97,-0.50,1.67,2.00
-1.91,1.44,-2.49,1.00
0.01,-0.02,-3.49,1.00
-1.04,0.92,-2.18,1.00
0.01,0.11,1.59,2.00
-2.20,4.38,1.48,2.00
-2.00,3.10,5.24,2.00
-1.67,-0.96,-2.13,1.00
-0.43,-1.73,4.58,2.00
1.13,-0.98,1.49,2.00
1.75,-2.96,-3.68,1.00
-0.60,-0.23,1.10,2.00
-1.63,0.77,1.85,2.00
0.06,-0.89,1.06,2.00
-0.91,0.52,-1.78,1.00
0.92,2.59,-2.66,1.00
-1.33,0.95,-1.54,1.00
0.27,-0.40,-2.07,1.00
0.16,-0.82,-4.02,1.00
-0.73,-3.17,-4.33,1.00
-0.14,-0.49,4.95,2.00
-0.00,-0.00,-2.03,1.00
1.33,1.04,3.27,2.00
1.16,-0.17,1.14,2.00
-1.72,1.49,-4.15,1.00
-0.65,-1.63,1.93,2.00
0.48,0.67,-1.67,1.00
-0.46,0.37,-1.11,1.00
-0.06,-0.02,-3.10,1.00
0.74,-0.64,-2.72,1.00
-0.09,0.52,-0.32,1.00
0.47,-1.33,1.73,2.00
0.82,4.01,-7.86,1.00
-0.95,-1.06,-1.05,1.00
3.07,0.91,1.45,2.00
1.79,-2.81,2.26,2.00
-0.13,-0.02,-2.29,1.00
1.29,-0.11,1.90,2.00
-0.43,-0.62,4.20,2.00
-1.00,-1.17,5.50,2.00
0.02,-0.14,-2.50,1.00
0.51,0.72,2.48,2.00
0.95,1.15,-1.21,1.00
0.06,0.15,0.95,2.00
0.47,0.85,3.20,2.00
0.78,0.40,1.96,2.00
0.41,1.48,-1.93,1.00
0.44,-1.01,-1.16,1.00
0.36,-0.71,2.43,2.00
1.87,0.23,-6.38,1.00
-1.71,1.55,-2.09,1.00
-0.00,0.01,4.55,2.00
-0.47,-0.38,-1.77,1.00
-2.12,-1.45,2.21,2.00
-1.74,-2.30,3.34,2.00
-1.85,2.04,-3.06,1.00
-0.18,0.42,-1.24,1.00
0.25,-0.80,1.86,2.00
-2.08,0.61,-1.36,1.00
-1.61,-0.84,1.86,2.00
-0.85,-0.44,-2.79,1.00
-0.40,-0.25,3.35,2.00
0.93,-0.65,-4.02,1.00
-0.32,-0.33,3.58,2.00
-0.68,0.04,3.14,2.00
0.12,0.05,-0.35,1.00
-0.57,-0.37,-2.05,1.00
-3.20,-3.30,-3.19,1.00
0.96,-0.94,-1.45,1.00
0.09,-0.08,1.14,2.00
-0.13,-2.18,1.04,2.00
-0.51,0.04,-2.27,1.00
-0.10,0.19,1.06,2.00
-0.61,1.14,-3.34,1.00
-0.13,0.12,5.55,2.00
0.13,-0.33,-1.81,1.00
-1.45,-1.17,0.91,2.00
0.19,0.02,1.51,2.00
0.83,-0.84,-4.22,1.00
-0.70,-1.54,2.63,2.00
-2.06,-0.73,-6.20,1.00
1.69,0.46,2.32,2.00
0.46,0.64,-0.62,1.00
0.99,-1.47,2.82,2.00
-0.11,-0.06,3.09,2.00
-0.01,-0.00,5.85,2.00
0.84,0.07,0.56,2.00
-0.02,0.03,4.03,2.00
-0.55,1.25,-1.53,1.00
0.20,1.58,1.54,2.00
-0.11,0.07,1.27,2.00
0.04,0.15,0.56,2.00
0.02,-0.03,1.89,2.00
-1.86,0.76,1.96,2.00
-1.30,2.37,3.18,2.00
-0.20,-0.57,0.35,2.00
0.26,-0.05,0.33,2.00
0.94,1.20,-1.42,1.00
-0.68,1.04,-3.53,1.00
3.55,2.16,-5.82,1.00
-0.17,1.13,1.24,2.00
1.35,-2.87,-3.03,1.00
1.02,0.03,0.86,2.00
0.79,-0.16,0.89,2.00
-0.85,-4.56,1.53,2.00
0.09,-0.06,0.23,2.00
-1.62,-0.96,-2.87,1.00
0.93,2.27,7.17,2.00
-0.37,0.31,-3.03,1.00
-0.47,-0.34,-0.61,1.00
-0.06,0.79,0.32,2.00
-0.68,1.00,1.89,2.00
-1.62,-0.73,-2.34,1.00
2.62,1.30,1.62,2.00
0.76,-0.38,1.19,2.00
-2.01,0.22,-1.82,1.00
3.40,2.58,-6.00,1.00
0.38,-0.05,-1.09,1.00
-2.91,1.36,5.11,2.00
-0.23,0.38,0.49,2.00
1.39,-0.97,-1.21,1.00
-0.44,0.21,2.23,2.00
-2.07,0.40,3.13,2.00
-0.04,-0.17,4.01,2.00
-0.08,-0.72,-2.05,1.00
-1.29,-0.97,3.96,2.00
0.38,-0.69,1.69,2.00
-0.37,1.25,-1.33,1.00
0.01,0.30,-1.29,1.00
-0.12,0.05,2.82,2.00
-0.39,-1.75,-3.21,1.00
0.04,-1.10,1.20,2.00
0.29,0.10,-1.04,1.00
-0.05,-0.01,-1.52,1.00
-0.46,-0.08,3.00,2.00
-0.24,-0.59,-1.08,1.00
-1.21,-2.70,-1.18,1.00
0.51,0.72,-1.44,1.00
0.38,0.52,-0.62,1.00
-0.02,-1.30,1.15,2.00
1.41,0.90,1.63,2.00
-0.86,0.28,3.24,2.00
0.88,-2.06,1.53,2.00
1.55,0.87,1.46,2.00
-0.01,0.10,-0.62,1.00
0.09,-0.22,-0.85,1.00
0.08,-1.24,2.12,2.00
-0.03,0.08,1.24,2.00
-0.84,1.77,1.08,2.00
-1.19,-0.76,-1.17,1.00
0.53,0.02,-1.66,1.00
